,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.052001953125,0.009574194494373117,0.00243989626566569,0.0008730881928425852,0.004000000000000002,71,1,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 1}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
1,0.06693744659423828,0.036820838719938985,0.001392046610514323,0.00043577913414064766,0.004000000000000002,71,11,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 11}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
2,0.0520169734954834,0.02805826998852224,0.002465327580769857,0.0014230035524260723,0.004000000000000002,71,21,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 21}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.975,1.0,0.9625,0.9791666666666666,0.015590239111558084
3,0.017958879470825195,0.00014211920650957183,0.002666473388671875,0.0009425722457365946,0.004000000000000002,71,31,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 31}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.975,1.0,0.9625,0.9791666666666666,0.015590239111558084
4,0.02344997723897298,0.0011890210362291798,0.0016942024230957031,0.00045418286675895153,0.004000000000000002,71,41,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 41}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
5,0.03057090441385905,0.0054239170508993805,0.0023152828216552734,0.00044473354548695384,0.004000000000000002,71,51,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 51}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
6,0.031360626220703125,0.0035714824675003604,0.0025801658630371094,0.0010428697008163636,0.004000000000000002,71,61,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 61}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
7,0.03656768798828125,0.0016452118002485917,0.0017578601837158203,0.0005474311060458173,0.004000000000000002,71,71,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 71}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
8,0.04029520352681478,0.00526146329990799,0.0013340314229329426,0.0004703027242327683,0.004000000000000002,71,81,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 81}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
9,0.04434450467427572,0.004148982373964992,0.0016640027364095051,0.0004680900298197086,0.004000000000000002,71,91,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 91}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
10,0.04837171236673991,0.001988277483551272,0.0016659895579020183,0.0004714829060926334,0.004000000000000002,71,101,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 101}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
11,0.051261345545450844,0.005435613712586677,0.002931674321492513,0.0016681280971950255,0.004000000000000002,71,111,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 111}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
12,0.06643152236938477,0.014336643340417485,0.001334826151529948,0.00047210114996419693,0.004000000000000002,71,121,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 121}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
13,0.06601341565450032,0.013162132056203632,0.0016671021779378254,0.0004726068216706392,0.004000000000000002,71,131,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 131}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
14,0.07117048899332683,0.010047509263163806,0.0020014444986979165,0.0008166325648080959,0.004000000000000002,71,141,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 141}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
15,0.07261347770690918,0.013174980377595475,0.0028062661488850913,0.0019344803798660832,0.004000000000000002,71,151,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 151}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
16,0.08995914459228516,0.01423627975860105,0.0018398761749267578,0.0002274269148219687,0.004000000000000002,71,161,"{'learning_rate': 0.004000000000000002, 'max_depth': 71, 'n_estimators': 161}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
